iter	Passed	Remaining
193	256362	1065095
194	257711	1063884
195	259191	1063213
196	260595	1062225
197	261961	1061074
198	263385	1060158
199	264798	1059194
200	266199	1058176
201	267661	1057397
202	269032	1056250
203	270455	1055307
204	272119	1055294
205	273602	1054566
206	275044	1053674
207	276484	1052766
208	277867	1051643
209	279276	1050610
210	280777	1049920
211	282307	1049333
212	283760	1048449
213	285325	1047969
214	286857	1047363
215	288297	1046412
216	289712	1045366
217	291164	1044452
218	292591	1043441
219	293948	1042181
220	295486	1041557
221	296868	1040376
222	298303	1039379
223	299775	1038508
224	301146	1037283
225	302802	1037031
226	304192	1035863
227	305608	1034780
228	307077	1033871
229	308494	1032786
230	309922	1031733
231	311261	1030382
232	312606	1029052
233	313954	1027732
234	315237	1026198
235	316680	1025187
236	318275	1024659
237	319643	1023395
238	321038	1022217
239	322410	1020965
240	323802	1019774
241	325168	1018502
242	326654	1017601
243	327963	1016148
244	329323	1014853
245	330776	1013843
246	332190	1012710
247	333722	1011933
248	335097	1010674
249	336416	1009249
250	337668	1007623
251	338990	1006209
252	340243	1004593
253	341478	1002925
254	342961	1001984
255	344415	1000956
256	345798	999720
257	347286	998786
258	348924	998275
259	350310	997037
260	351724	995877
261	353092	994587
262	354627	993764
263	356058	992648
264	357436	991381
265	358935	990446
266	360365	989317
267	361792	988179
268	363121	986771
269	364461	985395
270	365901	984288
271	367241	982909
272	368617	981629
273	369947	980225
274	371359	979038
275	372696	977652
276	374112	976474
277	375610	975506
278	377073	974444
279	378689	973773
280	380108	972590
281	381517	971381
282	382921	970158
283	384406	969136
284	385852	968016
285	387302	966901
286	388751	965784
287	390108	964435
288	391558	963314
289	392919	961976
290	394481	961125
291	395941	960022
292	397317	958715
293	398788	957634
294	400198	956405
295	401629	955228
296	403193	954359
297	404582	953077
298	405933	951702
299	407354	950493
300	408849	949455
301	410426	948602
302	411911	947531
303	413400	946469
304	414831	945272
305	416444	944485
306	418013	943594
307	419389	942264
308	420878	941187
309	422291	939940
310	423692	938663
311	425366	937988
312	426767	936707
313	428177	935444
314	429530	934057
315	430977	932875
316	432572	932009
317	434026	930835
318	435436	929569
319	436919	928453
320	438314	927151
321	439737	925907
322	441183	924708
323	442514	923271
324	443868	921881
325	445255	920559
326	446733	919424
327	448083	918024
328	449503	916768
329	450891	915445
330	452290	914145
331	453797	913062
332	455443	912255
333	456922	911108
334	458325	909809
335	459838	908727
336	461221	907387
337	462538	905918
338	463910	904557
339	465222	903079
340	466519	901572
341	467825	900084
342	469168	898669
343	470824	897851
344	472262	896613
345	473632	895246
346	474929	893743
347	476318	892413
348	477734	891131
349	479137	889826
350	480544	888528
351	481937	887202
352	483412	886027
353	485475	885924
354	487346	885460
355	488914	884441
356	490721	883847
357	492483	883169
358	494203	882408
359	495790	881405
360	497554	880713
361	499215	879833
362	500902	878994
363	502663	878279
364	504297	877339
365	505965	876453
366	507501	875336
367	508843	873883
368	510304	872635
369	511685	871248
370	513117	869948
371	514615	868759
372	516575	868344
373	518287	867508
374	520029	866715
375	521877	866093
376	523573	865215
377	525199	864217
378	526755	863100
379	528404	862134
380	529926	860956
381	531800	860347
382	533526	859493
383	535318	858739
384	537025	857845
385	538541	856643
386	539858	855125
387	541038	853390
388	542229	851676
389	543528	850134
390	544756	848483
391	546151	847092
392	547367	845425
393	548662	843882
394	549913	842272
395	551249	840794
396	552627	839380
397	554011	837977
398	555427	836621
399	556689	835034
400	557926	833411
401	559284	831970
402	560608	830479
403	561839	828852
404	563063	827216
405	564384	825725
406	565627	824121
407	566887	822542
408	568167	820994
409	569479	819494
410	570751	817937
411	572007	816360
412	573258	814776
413	574518	813207
414	575753	811604
415	577166	810253
416	578480	808763
417	579796	807276
418	581073	805736
419	582361	804213
420	583574	802588
421	584778	800951
422	586057	799421
423	587371	797938
424	588657	796418
425	589930	794883
426	591264	793429
427	592660	792059
428	593988	790600
429	595414	789271
430	596582	787599
431	597803	786000
432	599063	784455
433	600407	783019
434	601591	781376
435	603072	780121
436	604606	778932
437	606028	777597
438	607289	776058
439	608597	774578
440	609960	773169
441	611180	771580
442	612406	770000
443	613658	768455
444	614847	766832
445	616122	765318
446	617370	763771
447	618613	762220
448	619845	760656
449	621236	759289
450	622477	757738
451	623729	756202
452	624943	754622
453	626178	753069
454	627347	751438
455	628509	749800
456	629714	748216
457	630950	746671
458	632240	745190
459	633537	743717
460	634718	742111
461	636239	740902
462	637638	739550
463	638979	738131
464	640293	736681
465	641619	735245
466	642927	733791
467	644175	732268
468	645393	730712
469	646681	729237
470	647966	727758
471	649323	726361
472	650732	725023
473	651967	723491
474	653178	721934
475	654398	720387
476	655706	718939
477	656942	717414
478	658240	715956
479	659546	714509
480	660815	713021
481	662041	711488
482	663335	710030
483	664650	708594
484	666268	707480
485	667780	706253
486	669041	704759
487	670332	703299
488	671611	701826
489	672871	700336
490	674221	698938
491	675456	697422
492	676860	696081
493	678164	694638
494	679474	693201
495	680892	691874
496	682144	690379
497	683305	688794
498	684464	687207
499	685652	685652
500	686808	684067
501	688099	682616
502	689387	681164
503	690658	679695
504	691818	678119
505	692999	676564
506	694187	675018
507	695545	673638
508	696800	672158
509	697962	670591
510	699261	669156
511	700451	667618
512	701748	666182
513	703032	664735
514	704334	663305
515	705687	661924
516	707004	660509
517	708287	659063
518	709662	657702
519	710933	656246
520	712173	654762
521	713676	653519
522	714817	651946
523	716068	650474
524	717234	648926
525	718472	647444
526	719740	645990
527	721042	644568
528	722230	643044
529	723576	641662
530	724945	640300
531	726516	639115
532	727831	637706
533	729210	636352
534	730511	634930
535	731943	633622
536	733292	632243
537	734631	630854
538	736021	629509
539	737410	628164
540	738680	626718
541	740022	625332
542	741259	623859
543	742441	622340
544	743671	620863
545	744921	619403
546	746230	617993
547	747607	616640
548	748872	615194
549	750157	613765
550	751476	612364
551	752720	610903
552	754195	609630
553	755576	608280
554	756818	606818
555	758216	605481
556	759535	604083
557	760746	602598
558	762298	601384
559	763553	599935
560	764854	598522
561	766238	597175
562	767558	595778
563	768769	594297
564	770103	592911
565	771369	591474
566	772626	590030
567	773942	588632
568	775576	587475
569	777107	586239
570	778528	584919
571	779872	583540
572	781252	582190
573	782720	580903
574	784308	579706
575	785768	578413
576	787233	577122
577	788715	575844
578	790066	574470
579	791457	573124
580	792923	571833
581	794462	570593
582	795860	569251
583	797247	567902
584	798806	566674
585	800176	565312
586	801628	564007
587	802996	562643
588	804451	561340
589	805826	559981
590	807182	558608
591	808625	557295
592	810088	555996
593	811640	554757
594	813141	553482
595	814651	552213
596	816535	551195
597	818583	550285
598	820211	549089
599	821674	547783
600	823210	546523
601	824916	545376
602	826444	544110
603	828062	542901
604	829512	541582
605	830946	540252
606	832979	539309
607	834717	538172
608	836431	537019
609	838078	535820
610	839793	534663
611	841413	533445
612	843241	532356
613	844931	531178
614	846645	530014
615	848314	528819
616	849957	527607
617	851480	526319
618	853071	525073
619	854637	523809
620	856277	522591
621	858207	521547
622	859934	520377
623	861541	519133
624	863098	517858
625	864749	516639
626	866472	515461
627	868159	514259
628	869954	513120
629	871543	511858
630	873461	510788
631	875063	509530
632	876759	508326
633	878485	507138
634	880039	505849
635	881855	504709
636	883674	503569
637	885326	502332
638	887277	501263
639	889002	500063
640	890647	498818
641	892264	497555
642	894030	496374
643	895741	495161
644	897463	493953
645	899229	492766
646	900888	491520
647	902841	490432
648	904667	489273
649	906199	487953
650	907847	486695
651	909294	485328
652	910687	483933
653	912226	482615
654	913649	481235
655	915136	479888
656	916739	478602
657	918335	477311
658	919689	475893
659	921161	474537
660	922519	473122
661	923954	471747
662	925364	470358
663	926816	468991
664	928171	467575
665	929493	466142
666	930779	464691
667	931998	463208
668	933379	461806
669	934882	460464
670	936204	459032
671	937717	457695
672	939101	456294
673	940488	454894
674	941804	453461
675	943100	452018
676	944592	450669
677	946336	449440
678	947709	448033
679	949229	446696
680	950856	445408
681	952383	444073
682	953913	442738
683	955836	441585
684	957470	440296
685	959096	439003
686	960951	437813
687	962606	436530
688	964843	435509
689	966990	434445
690	969127	433372
691	971113	432229
692	973197	431127
693	975320	430040
694	977376	428920
695	979467	427813
696	981461	426661
697	983505	425527
698	985540	424388
699	987642	423275
700	989851	422205
701	991730	420990
702	993725	419824
703	995711	418651
704	997619	417443
705	999696	416304
706	1001711	415136
707	1003847	414016
708	1005869	412846
709	1007986	411712
710	1009942	410511
711	1012186	409423
712	1014205	408242
713	1016275	407079
714	1018240	405872
715	1020409	404743
716	1022484	403574
717	1024525	402390
718	1026682	401248
719	1028620	400018
720	1030512	398769
721	1032439	397531
722	1034555	396364
723	1036338	395068
724	1038345	393855
725	1040390	392654
726	1042362	391423
727	1044272	390167
728	1046422	388999
729	1048382	387757
730	1050400	386536
731	1052289	385264
732	1054269	384024
733	1056141	382743
734	1058112	381496
735	1060177	380281
736	1062049	378994
737	1064417	377882
738	1066589	376697
739	1068587	375449
740	1070626	374213
741	1072680	372980
742	1074719	371739
743	1076649	370460
744	1078796	369252
745	1080788	367989
746	1082886	366760
747	1084931	365511
748	1087109	364305
749	1089135	363045
750	1091121	361769
751	1093251	360540
752	1095122	359223
753	1097012	357911
754	1099079	356654
755	1101015	355354
756	1102977	354060
757	1104879	352745
758	1106794	351432
759	1108712	350119
760	1110742	348840
761	1112686	347531
762	1114576	346205
763	1116485	344882
764	1118291	343527
765	1120073	342163
766	1122074	340864
767	1124148	339586
768	1125969	338230
769	1127845	336888
770	1130033	335638
771	1132144	334363
772	1134030	333020
773	1136145	331742
774	1138474	330524
775	1140567	329236
776	1142539	327910
777	1144440	326562
778	1146365	325220
779	1148273	323872
780	1150245	322540
781	1152066	321164
782	1153455	319667
783	1154733	318140
784	1156079	316633
785	1157456	315134
786	1158738	313610
787	1160059	312097
788	1161455	310604
789	1162947	309137
790	1164317	307638
791	1165912	306199
792	1167286	304701
793	1168707	303216
794	1170160	301739
795	1171523	300239
796	1172925	298750
797	1174235	297237
798	1175722	295769
799	1177130	294282
800	1178476	292780
801	1180100	291346
802	1181524	289863
803	1182832	288352
804	1184237	286864
805	1185686	285388
806	1187164	283919
807	1188557	282429
808	1189955	280941
809	1191426	279470
810	1192896	277999
811	1194444	276546
812	1195748	275036
813	1197149	273550
814	1198480	272047
815	1199801	270543
816	1201368	269094
817	1202751	267604
818	1204145	266117
819	1205575	264638
820	1207081	263176
821	1208702	261738
822	1210127	260258
823	1211516	258770
824	1212990	257300
825	1214433	255825
826	1215845	254342
827	1217197	252847
828	1218709	251386
829	1220168	249914
830	1221601	248436
831	1223280	247008
832	1224754	245539
833	1226107	244045
834	1227481	242556
835	1228877	241071
836	1230288	239590
837	1231618	238093
838	1233103	236626
839	1234526	235147
840	1235979	233675
841	1237657	232244
842	1239074	230764
843	1240509	229288
844	1241927	227809
845	1243312	226323
846	1244829	224862
847	1246282	223390
848	1247669	221905
849	1249024	220416
850	1250540	218954
851	1252008	217485
852	1253438	216008
853	1254728	214508
854	1256045	213013
855	1257375	211521
856	1258796	210044
857	1260314	208583
858	1261816	207120
859	1263356	205662
860	1264840	204196
861	1266376	202737
862	1267735	201251
863	1269289	199795
864	1270733	198322
865	1272168	196848
866	1273522	195361
867	1275000	193894
868	1276449	192422
869	1277889	190948
870	1279541	189507
871	1280938	188027
872	1282436	186562
873	1283860	185087
874	1285266	183609
875	1286735	182140
876	1288221	180674
877	1289703	179207
878	1291120	177731
879	1292667	176272
880	1294253	174819
881	1295768	173356
882	1297231	171886
883	1298699	170417
884	1300061	168934
885	1301520	167464
886	1302915	165985
887	1304411	164520
888	1305864	163049
889	1307422	161591
890	1308833	160115
891	1310353	158652
892	1311855	157187
893	1313272	155712
894	1314730	154242
895	1316175	152770
896	1317629	151299
897	1319097	149830
898	1320575	148362
899	1322219	146913
900	1323767	145452
901	1325227	143982
902	1326695	142513
903	1328097	141036
904	1329564	139567
905	1331053	138100
906	1332518	136630
907	1333995	135162
908	1335615	133708
909	1337093	132240
910	1338598	130774
911	1340038	129301
912	1341536	127835
913	1343003	126365
914	1344644	124912
915	1346230	123453
916	1347856	121997
917	1349480	120541
918	1351185	119092
919	1352815	117636
920	1354330	116169
921	1355884	114706
922	1357569	113253
923	1359136	111790
924	1360727	110329
925	1362161	108855
926	1363617	107383
927	1365144	105916
928	1366577	104442
929	1368014	102968
930	1369472	101496
931	1371002	100030
932	1372359	98551
933	1373740	97073
934	1375176	95600
935	1376500	94119
936	1378099	92657
937	1379604	91189
938	1381084	89718
939	1382508	88245
940	1383899	86769
941	1385245	85291
942	1386712	83820
943	1388386	82361
944	1389849	80890
945	1391418	79425
946	1392994	77960
947	1394409	76486
948	1395857	75014
949	1397363	73545
950	1398824	72074
951	1400131	70594
952	1401575	69122
953	1403069	67653
954	1404507	66181
955	1405935	64708
956	1407346	63234
957	1408805	61763
958	1410328	60295
959	1411871	58827
960	1413283	57354
961	1414707	55882
962	1416055	54407
963	1417523	52936
964	1418937	51464
965	1420606	50000
966	1422026	48528
967	1423419	47055
968	1424773	45580
969	1426101	44106
970	1427459	42632
971	1428987	41164
972	1430438	39693
973	1431832	38221
974	1433239	36749
975	1434837	35282
976	1436347	33813
977	1437763	32342
978	1439222	30871
979	1440721	29402
980	1442109	27930
981	1443574	26460
982	1445017	24990
983	1446363	23518
984	1447815	22047
985	1449365	20579
986	1450821	19109
987	1452313	17639
988	1453767	16169
989	1455216	14699
990	1456613	13228
991	1457952	11757
992	1459364	10287
993	1460752	8817
994	1462326	7348
995	1463839	5878
996	1465192	4408
997	1466602	2939
998	1467927	1469
999	1469292	0
