iter	RMSE
148	2.67350881
149	2.670956153
150	2.663859881
151	2.661393987
152	2.659346862
153	2.65568418
154	2.652008923
155	2.649841876
156	2.646624964
157	2.64368204
158	2.639290099
159	2.634255457
160	2.629585143
161	2.625773438
162	2.621110689
163	2.618728108
164	2.615235962
165	2.61186885
166	2.609708876
167	2.606836258
168	2.602658585
169	2.598492594
170	2.594467558
171	2.591940118
172	2.587223871
173	2.584912854
174	2.58005937
175	2.575770521
176	2.570540322
177	2.567899408
178	2.561742019
179	2.559696266
180	2.55711009
181	2.552892658
182	2.549610971
183	2.547189365
184	2.544744007
185	2.540201588
186	2.5371098
187	2.533049583
188	2.530640633
189	2.524382263
190	2.518255391
191	2.515304383
192	2.512008675
193	2.507338151
194	2.504747665
195	2.498726623
196	2.49616811
197	2.493310272
198	2.488699203
199	2.484676553
200	2.481273803
201	2.47642848
202	2.473787577
203	2.470468276
204	2.464010839
205	2.458337533
206	2.454505503
207	2.449765834
208	2.44679891
209	2.443910951
210	2.440211073
211	2.437438096
212	2.433593992
213	2.430812159
214	2.429827469
215	2.426683213
216	2.423383208
217	2.418928074
218	2.414789495
219	2.412748291
220	2.406178093
221	2.403446224
222	2.399132813
223	2.393564555
224	2.390627862
225	2.385838757
226	2.383433641
227	2.379142994
228	2.374769681
229	2.371122631
230	2.367376094
231	2.36517429
232	2.362314702
233	2.358630648
234	2.355725342
235	2.351472601
236	2.347685379
237	2.345145434
238	2.341272163
239	2.338440799
240	2.335224893
241	2.332608558
242	2.326858623
243	2.324938791
244	2.323108893
245	2.318031943
246	2.314482148
247	2.310201186
248	2.305150777
249	2.301867321
250	2.299631589
251	2.295475064
252	2.293370289
253	2.291952414
254	2.287517185
255	2.283015661
256	2.28016791
257	2.27481118
258	2.270525032
259	2.268048038
260	2.264696495
261	2.262389794
262	2.255976336
263	2.251928661
264	2.249901973
265	2.244131468
266	2.240305313
267	2.236759318
268	2.234184445
269	2.231349177
270	2.227944372
271	2.224279511
272	2.221925163
273	2.220882211
274	2.218813388
275	2.216385919
276	2.212325222
277	2.209549322
278	2.20863531
279	2.204647998
280	2.201955581
281	2.199998896
282	2.19822844
283	2.194578289
284	2.192686832
285	2.189711873
286	2.18650637
287	2.184864175
288	2.181811077
289	2.180358578
290	2.177616703
291	2.173475556
292	2.171365472
293	2.16728149
294	2.164296808
295	2.160165754
296	2.155676234
297	2.152600693
298	2.149466469
299	2.146296738
300	2.141799101
301	2.13889902
302	2.135011466
303	2.13087138
304	2.128707278
305	2.124241479
306	2.119585079
307	2.11806447
308	2.115038293
309	2.112017688
310	2.109594592
311	2.105317208
312	2.103819349
313	2.10141388
314	2.099881603
315	2.097140611
316	2.091676741
317	2.088789866
318	2.086409192
319	2.083150671
320	2.080825552
321	2.079156918
322	2.074101428
323	2.070992325
324	2.068810401
325	2.066788431
326	2.061871575
327	2.059595304
328	2.05682595
329	2.053188817
330	2.049891308
331	2.044936351
332	2.041426856
333	2.037133245
334	2.034070915
335	2.029555956
336	2.02554714
337	2.022505451
338	2.01844254
339	2.015772206
340	2.013826382
341	2.010888276
342	2.007389676
343	2.004230415
344	2.000621328
345	1.997230304
346	1.995327096
347	1.992249662
348	1.989645106
349	1.987493873
350	1.984239969
351	1.981736621
352	1.979452996
353	1.975944652
354	1.974346789
355	1.972508364
356	1.970405442
357	1.966174437
358	1.964554447
359	1.961997778
360	1.959673896
361	1.958042551
362	1.9563827
363	1.953832991
364	1.953089919
365	1.94973982
366	1.946442066
367	1.945361213
368	1.941916862
369	1.939430705
370	1.936310349
371	1.933822042
372	1.932157461
373	1.930452049
374	1.927454656
375	1.924454225
376	1.919467037
377	1.916103232
378	1.914125541
379	1.912576332
380	1.910901131
381	1.909118058
382	1.905334423
383	1.901835348
384	1.899452412
385	1.894849325
386	1.891917073
387	1.890416134
388	1.888870791
389	1.885631629
390	1.883782048
391	1.879864853
392	1.877186742
393	1.875545662
394	1.872603345
395	1.869091723
396	1.866691256
397	1.864189131
398	1.859675727
399	1.856418076
400	1.854556271
401	1.851186978
402	1.847768901
403	1.845776205
404	1.843531981
405	1.839617532
406	1.836600947
407	1.835047465
408	1.833817452
409	1.831152602
410	1.828992002
411	1.826653809
412	1.823914309
413	1.821464161
414	1.8203657
415	1.816228534
416	1.813193562
417	1.80991124
418	1.807857745
419	1.804884548
420	1.803286979
421	1.80182168
422	1.799513823
423	1.795939823
424	1.793954177
425	1.790783665
426	1.788806394
427	1.786375691
428	1.782581018
429	1.778589351
430	1.7769767
431	1.774920178
432	1.772040278
433	1.769670059
434	1.769186243
435	1.764479773
436	1.760764502
437	1.757097518
438	1.754955657
439	1.751191625
440	1.749907122
441	1.748431405
442	1.746810118
443	1.744077936
444	1.742717829
445	1.739867861
446	1.736738559
447	1.734084298
448	1.731632383
449	1.728474932
450	1.726118039
451	1.722971275
452	1.721047405
453	1.718557234
454	1.717382499
455	1.716728975
456	1.715066047
457	1.712513081
458	1.709134307
459	1.705848589
460	1.704159337
461	1.701710601
462	1.700822761
463	1.698765846
464	1.6975148
465	1.694523577
466	1.691586799
467	1.68930563
468	1.687997745
469	1.685095528
470	1.68202443
471	1.678521289
472	1.675539436
473	1.673778846
474	1.672676142
475	1.671842951
476	1.668832485
477	1.667025229
478	1.663594583
479	1.660728751
480	1.658905852
481	1.65810644
482	1.655969084
483	1.652357341
484	1.649941049
485	1.645735751
486	1.644350373
487	1.642016287
488	1.640559193
489	1.639761664
490	1.63723981
491	1.635072451
492	1.633080336
493	1.631640872
494	1.629195198
495	1.626856553
496	1.624782261
497	1.624074995
498	1.623231415
499	1.622567969
500	1.622056909
501	1.619291574
502	1.61682624
503	1.61404795
504	1.61336722
505	1.612060824
506	1.610717973
507	1.609323462
508	1.606723618
509	1.605879513
510	1.604150561
511	1.603307358
512	1.600787066
513	1.5993599
514	1.597402192
515	1.59379379
516	1.590936524
517	1.588383548
518	1.585809185
519	1.583344226
520	1.581293281
521	1.577520704
522	1.576990679
523	1.574776416
524	1.573942638
525	1.571607328
526	1.570300833
527	1.567211892
528	1.566476725
529	1.563223929
530	1.562375654
531	1.560144916
532	1.558573785
533	1.555257889
534	1.553503
535	1.550958031
536	1.548477446
537	1.54548866
538	1.542038256
539	1.539342853
540	1.538015219
541	1.535170863
542	1.533069726
543	1.531897055
544	1.530264894
545	1.527671793
546	1.524709979
547	1.521294056
548	1.520139292
549	1.518157434
550	1.516734142
551	1.51579108
552	1.513057523
553	1.510601975
554	1.509159341
555	1.506364168
556	1.504307307
557	1.502865906
558	1.498763438
559	1.497476352
560	1.495329353
561	1.492797434
562	1.490306757
563	1.489650939
564	1.487598413
565	1.485401349
566	1.484013257
567	1.482019597
568	1.479194544
569	1.477725245
570	1.475897765
571	1.474748391
572	1.473478248
573	1.471133733
574	1.468594857
575	1.467119377
576	1.465735064
577	1.463282732
578	1.462070575
579	1.460272605
580	1.457261461
581	1.453490317
582	1.451671021
583	1.449883409
584	1.448022841
585	1.446489052
586	1.444220235
587	1.442839319
588	1.440517212
589	1.438862091
590	1.437823668
591	1.43498816
592	1.431997662
593	1.428804469
594	1.427710737
595	1.42620502
596	1.424874612
597	1.422725957
598	1.420580331
599	1.418735615
600	1.416691653
601	1.414969608
602	1.411982078
603	1.41030972
604	1.407902885
605	1.405919842
606	1.403905395
607	1.401933121
608	1.400223359
609	1.398591885
610	1.396663188
611	1.39437263
612	1.391438857
613	1.38965105
614	1.387879896
615	1.38576113
616	1.384099414
617	1.383119052
618	1.38193025
619	1.38093518
620	1.379416609
621	1.377590969
622	1.375431805
623	1.374723748
624	1.373843947
625	1.37256746
626	1.370555869
627	1.36903642
628	1.366851389
629	1.365660535
630	1.363593183
631	1.36197665
632	1.360133553
633	1.358096076
634	1.357625913
635	1.354669448
636	1.352203061
637	1.350837712
638	1.347695998
639	1.345021381
640	1.34328755
641	1.341903249
642	1.3391828
643	1.336879239
644	1.334762175
645	1.331787764
646	1.330308175
647	1.32777414
648	1.325376239
649	1.323491332
650	1.320964182
651	1.319431326
652	1.318271614
653	1.316145965
654	1.314228333
655	1.311402784
656	1.309552105
657	1.306947499
658	1.305884421
659	1.303601724
660	1.302705702
661	1.301332637
662	1.299478214
663	1.297756897
664	1.296192773
665	1.294089278
666	1.293233751
667	1.292425121
668	1.289356367
669	1.288631818
670	1.287437076
671	1.283703782
672	1.282165294
673	1.279583482
674	1.277750543
675	1.276029328
676	1.274200125
677	1.271910972
678	1.269791353
679	1.268446911
680	1.265877399
681	1.263746408
682	1.260280669
683	1.258496091
684	1.256770564
685	1.254491485
686	1.252020153
687	1.251472865
688	1.24884835
689	1.246841718
690	1.244974736
691	1.243461215
692	1.241401281
693	1.240167749
694	1.238352997
695	1.236306456
696	1.234642217
697	1.2330113
698	1.231462639
699	1.229027549
700	1.226653333
701	1.226157662
702	1.223866632
703	1.222166767
704	1.221081275
705	1.218951448
706	1.216398294
707	1.214729705
708	1.212815529
709	1.211177467
710	1.209386207
711	1.206842928
712	1.205538338
713	1.203980367
714	1.202793035
715	1.200209512
716	1.198131335
717	1.195810229
718	1.193750576
719	1.192437778
720	1.191481309
721	1.190367341
722	1.189231897
723	1.18843245
724	1.186840328
725	1.185217131
726	1.183455145
727	1.182263304
728	1.179519015
729	1.178152985
730	1.176994811
731	1.176071294
732	1.174590318
733	1.173689659
734	1.172653315
735	1.171179149
736	1.169347608
737	1.167888288
738	1.166104254
739	1.165067828
740	1.163342002
741	1.161229964
742	1.159194959
743	1.156912905
744	1.155034903
745	1.153688955
746	1.151872823
747	1.150693293
748	1.148702906
749	1.145892171
750	1.144842527
751	1.143662729
752	1.14256617
753	1.140583792
754	1.138561973
755	1.137021637
756	1.134935203
757	1.132843613
758	1.1309197
759	1.129702174
760	1.127245527
761	1.125790161
762	1.123263506
763	1.120714745
764	1.119111114
765	1.118107949
766	1.116138092
767	1.113337604
768	1.112110908
769	1.110401406
770	1.108388481
771	1.106306257
772	1.104513347
773	1.10316106
774	1.101718018
775	1.099563653
776	1.09823677
777	1.096353792
778	1.095238378
779	1.094224368
780	1.092249454
781	1.089664652
782	1.088299364
783	1.087647254
784	1.085914014
785	1.083798154
786	1.082813608
787	1.08134324
788	1.07948636
789	1.077344876
790	1.076554394
791	1.075152377
792	1.074136037
793	1.072908556
794	1.071390044
795	1.070238928
796	1.068353678
797	1.067186661
798	1.065565864
799	1.064192658
800	1.062799642
801	1.0612768
802	1.05992314
803	1.059068092
804	1.057317217
805	1.055750862
806	1.054044533
807	1.0528897
808	1.051905836
809	1.050077947
810	1.048187265
811	1.046377177
812	1.0452168
813	1.042911947
814	1.041232357
815	1.039764501
816	1.037161729
817	1.036133968
818	1.034365469
819	1.032840899
820	1.030952285
821	1.029279116
822	1.027352498
823	1.026461694
824	1.024169204
825	1.02236282
826	1.021375068
827	1.020679995
828	1.018545887
829	1.016787058
830	1.015010227
831	1.012975321
832	1.01106686
833	1.010043189
834	1.009193172
835	1.008055784
836	1.00708038
837	1.005874466
838	1.004225282
839	1.002954253
840	1.001716799
841	0.9997272098
842	0.9988332193
843	0.9979486884
844	0.9967844819
845	0.9952532432
846	0.9934297973
847	0.9915010724
848	0.989545542
849	0.9879514951
850	0.9863075725
851	0.9855334112
852	0.9841285004
853	0.9831642015
854	0.981717475
855	0.9806015528
856	0.9795194672
857	0.9777623346
858	0.9760698627
859	0.9740946592
860	0.9733922208
861	0.9713106525
862	0.9702169534
863	0.9682664397
864	0.9667936305
865	0.9654608001
866	0.9648760072
867	0.9632417352
868	0.9619234816
869	0.9606606851
870	0.958998835
871	0.958130645
872	0.9564817421
873	0.955404847
874	0.9543271379
875	0.9526849422
876	0.9510125554
877	0.9495470751
878	0.9484081873
879	0.9463012137
880	0.94455186
881	0.9427623448
882	0.9411705878
883	0.9396365229
884	0.9390495983
885	0.9377079811
886	0.9359745356
887	0.9342722659
888	0.9329664289
889	0.9317377706
890	0.9306608519
891	0.9286844337
892	0.9268114423
893	0.9257620613
894	0.9245274448
895	0.9232055574
896	0.9219130665
897	0.9206237855
898	0.919032091
899	0.9177553005
900	0.9155106855
901	0.9142836477
902	0.9129531771
903	0.9118484674
904	0.9105732561
905	0.9091096838
906	0.9077433908
907	0.9062473608
908	0.9042083563
909	0.9029777816
910	0.9010133605
911	0.9000925052
912	0.8984441883
913	0.8974936186
914	0.8963950658
915	0.8952776958
916	0.8934285283
917	0.892102233
918	0.8904497843
919	0.8890457487
920	0.888176414
921	0.8866238554
922	0.884969986
923	0.8844295261
924	0.8834674889
925	0.8828914553
926	0.8821185673
927	0.8811955476
928	0.8800799115
929	0.8790224962
930	0.8777941817
931	0.8760603057
932	0.8752313733
933	0.8741372064
934	0.8729844682
935	0.8720901188
936	0.8697874692
937	0.8686966983
938	0.8669141284
939	0.8659980804
940	0.8649837022
941	0.8639396145
942	0.8628892855
943	0.8616825411
944	0.8602445796
945	0.8584968531
946	0.8574560298
947	0.8563590604
948	0.8552779942
949	0.8540066416
950	0.852978245
951	0.8522360043
952	0.8510800473
953	0.8492971186
954	0.8483548171
955	0.8479224988
956	0.8467921746
957	0.8448499052
958	0.8434416917
959	0.8414561657
960	0.8405506034
961	0.8391648073
962	0.8382239935
963	0.8369224584
964	0.8354733185
965	0.8338692981
966	0.832475398
967	0.8311080342
968	0.8300476338
969	0.8289953553
970	0.8284245632
971	0.8270248272
972	0.8258772991
973	0.825200352
974	0.8242695512
975	0.8234769217
976	0.8223649136
977	0.8215264906
978	0.8204207472
979	0.8188474521
980	0.8178915113
981	0.816752751
982	0.8154894448
983	0.8145235527
984	0.8133631804
985	0.8120010783
986	0.8109234483
987	0.8096115418
988	0.8085732403
989	0.8073466534
990	0.8063994069
991	0.8055211059
992	0.8041908548
993	0.80308081
994	0.8024523967
995	0.8009356426
996	0.8000164758
997	0.7988845841
998	0.7980688437
999	0.7973404981
